card1,card2,card3,suit_texture,rank_texture,high_card_class,gap_high_mid,gap_mid_low,has_straight_potential,weight
Ks,3h,2d,rainbow,unpaired,broadway,9,0,false,24
Ks,3h,3d,rainbow,paired,broadway,9,0,false,12
Ks,4s,2s,monotone,unpaired,broadway,8,1,false,4
Ks,4s,2h,two_tone,unpaired,broadway,8,1,false,12
Ks,4s,3s,monotone,unpaired,broadway,8,0,false,4
Ks,4s,3h,two_tone,unpaired,broadway,8,0,false,12
Ks,4s,4h,two_tone,paired,broadway,8,0,false,12
Ks,4h,2s,two_tone,unpaired,broadway,8,1,false,12
Ks,4h,2d,rainbow,unpaired,broadway,8,1,false,24
Ks,4h,3s,two_tone,unpaired,broadway,8,0,false,12
Ks,4h,3d,rainbow,unpaired,broadway,8,0,false,24
Ks,4h,4d,rainbow,paired,broadway,8,0,false,12
Ks,5s,2s,monotone,unpaired,broadway,7,2,false,4
Ks,5s,2h,two_tone,unpaired,broadway,7,2,false,12
Ks,5s,3s,monotone,unpaired,broadway,7,1,false,4
Ks,5s,3h,two_tone,unpaired,broadway,7,1,false,12
Ks,5s,4s,monotone,unpaired,broadway,7,0,false,4
Ks,5s,4h,two_tone,unpaired,broadway,7,0,false,12
Ks,5s,5h,two_tone,paired,broadway,7,0,false,12
Ks,5h,2s,two_tone,unpaired,broadway,7,2,false,12
Ks,5h,2d,rainbow,unpaired,broadway,7,2,false,24
Ks,5h,3s,two_tone,unpaired,broadway,7,1,false,12
Ks,5h,3d,rainbow,unpaired,broadway,7,1,false,24
Ks,5h,4s,two_tone,unpaired,broadway,7,0,false,12
Ks,5h,4d,rainbow,unpaired,broadway,7,0,false,24
Ks,5h,5d,rainbow,paired,broadway,7,0,false,12
Ks,6s,2s,monotone,unpaired,broadway,6,3,false,4
Ks,6s,2h,two_tone,unpaired,broadway,6,3,false,12
Ks,6s,3s,monotone,unpaired,broadway,6,2,false,4
Ks,6s,3h,two_tone,unpaired,broadway,6,2,false,12
Ks,6s,4s,monotone,unpaired,broadway,6,1,false,4
Ks,6s,4h,two_tone,unpaired,broadway,6,1,false,12
Ks,6s,5s,monotone,unpaired,broadway,6,0,false,4
Ks,6s,5h,two_tone,unpaired,broadway,6,0,false,12
Ks,6s,6h,two_tone,paired,broadway,6,0,false,12
Ks,6h,2s,two_tone,unpaired,broadway,6,3,false,12
Ks,6h,2d,rainbow,unpaired,broadway,6,3,false,24
Ks,6h,3s,two_tone,unpaired,broadway,6,2,false,12
Ks,6h,3d,rainbow,unpaired,broadway,6,2,false,24
Ks,6h,4s,two_tone,unpaired,broadway,6,1,false,12
Ks,6h,4d,rainbow,unpaired,broadway,6,1,false,24
Ks,6h,5s,two_tone,unpaired,broadway,6,0,false,12
Ks,6h,5d,rainbow,unpaired,broadway,6,0,false,24
Ks,6h,6d,rainbow,paired,broadway,6,0,false,12
Ks,7s,2s,monotone,unpaired,broadway,5,4,false,4
Ks,7s,2h,two_tone,unpaired,broadway,5,4,false,12
Ks,7s,3s,monotone,unpaired,broadway,5,3,false,4
Ks,7s,3h,two_tone,unpaired,broadway,5,3,false,12
Ks,7s,4s,monotone,unpaired,broadway,5,2,false,4
Ks,7s,4h,two_tone,unpaired,broadway,5,2,false,12
Ks,7s,5s,monotone,unpaired,broadway,5,1,false,4
Ks,7s,5h,two_tone,unpaired,broadway,5,1,false,12
Ks,7s,6s,monotone,unpaired,broadway,5,0,false,4
Ks,7s,6h,two_tone,unpaired,broadway,5,0,false,12
Ks,7s,7h,two_tone,paired,broadway,5,0,false,12
Ks,7h,2s,two_tone,unpaired,broadway,5,4,false,12
Ks,7h,2d,rainbow,unpaired,broadway,5,4,false,24
Ks,7h,3s,two_tone,unpaired,broadway,5,3,false,12
Ks,7h,3d,rainbow,unpaired,broadway,5,3,false,24
Ks,7h,4s,two_tone,unpaired,broadway,5,2,false,12
Ks,7h,4d,rainbow,unpaired,broadway,5,2,false,24
Ks,7h,5s,two_tone,unpaired,broadway,5,1,false,12
Ks,7h,5d,rainbow,unpaired,broadway,5,1,false,24
Ks,7h,6s,two_tone,unpaired,broadway,5,0,false,12
Ks,7h,6d,rainbow,unpaired,broadway,5,0,false,24
Ks,7h,7d,rainbow,paired,broadway,5,0,false,12
Ks,8s,2s,monotone,unpaired,broadway,4,5,false,4
Ks,8s,2h,two_tone,unpaired,broadway,4,5,false,12
Ks,8s,3s,monotone,unpaired,broadway,4,4,false,4
Ks,8s,3h,two_tone,unpaired,broadway,4,4,false,12
Ks,8s,4s,monotone,unpaired,broadway,4,3,false,4
Ks,8s,4h,two_tone,unpaired,broadway,4,3,false,12
Ks,8s,5s,monotone,unpaired,broadway,4,2,false,4
Ks,8s,5h,two_tone,unpaired,broadway,4,2,false,12
Ks,8s,6s,monotone,unpaired,broadway,4,1,false,4
Ks,8s,6h,two_tone,unpaired,broadway,4,1,false,12
Ks,8s,7s,monotone,unpaired,broadway,4,0,false,4
Ks,8s,7h,two_tone,unpaired,broadway,4,0,false,12
Ks,8s,8h,two_tone,paired,broadway,4,0,false,12
Ks,8h,2s,two_tone,unpaired,broadway,4,5,false,12
Ks,8h,2d,rainbow,unpaired,broadway,4,5,false,24
Ks,8h,3s,two_tone,unpaired,broadway,4,4,false,12
Ks,8h,3d,rainbow,unpaired,broadway,4,4,false,24
Ks,8h,4s,two_tone,unpaired,broadway,4,3,false,12
Ks,8h,4d,rainbow,unpaired,broadway,4,3,false,24
Ks,8h,5s,two_tone,unpaired,broadway,4,2,false,12
Ks,8h,5d,rainbow,unpaired,broadway,4,2,false,24
Ks,8h,6s,two_tone,unpaired,broadway,4,1,false,12
Ks,8h,6d,rainbow,unpaired,broadway,4,1,false,24
Ks,8h,7s,two_tone,unpaired,broadway,4,0,false,12
Ks,8h,7d,rainbow,unpaired,broadway,4,0,false,24
Ks,8h,8d,rainbow,paired,broadway,4,0,false,12
Ks,9s,2s,monotone,unpaired,broadway,3,6,false,4
Ks,9s,2h,two_tone,unpaired,broadway,3,6,false,12
Ks,9s,3s,monotone,unpaired,broadway,3,5,false,4
Ks,9s,3h,two_tone,unpaired,broadway,3,5,false,12
Ks,9s,4s,monotone,unpaired,broadway,3,4,false,4
Ks,9s,4h,two_tone,unpaired,broadway,3,4,false,12
Ks,9s,5s,monotone,unpaired,broadway,3,3,false,4
Ks,9s,5h,two_tone,unpaired,broadway,3,3,false,12
Ks,9s,6s,monotone,unpaired,broadway,3,2,false,4
Ks,9s,6h,two_tone,unpaired,broadway,3,2,false,12
Ks,9s,7s,monotone,unpaired,broadway,3,1,false,4
Ks,9s,7h,two_tone,unpaired,broadway,3,1,false,12
Ks,9s,8s,monotone,unpaired,broadway,3,0,false,4
Ks,9s,8h,two_tone,unpaired,broadway,3,0,false,12
Ks,9s,9h,two_tone,paired,broadway,3,0,true,12
Ks,9h,2s,two_tone,unpaired,broadway,3,6,false,12
Ks,9h,2d,rainbow,unpaired,broadway,3,6,false,24
Ks,9h,3s,two_tone,unpaired,broadway,3,5,false,12
Ks,9h,3d,rainbow,unpaired,broadway,3,5,false,24
Ks,9h,4s,two_tone,unpaired,broadway,3,4,false,12
Ks,9h,4d,rainbow,unpaired,broadway,3,4,false,24
Ks,9h,5s,two_tone,unpaired,broadway,3,3,false,12
Ks,9h,5d,rainbow,unpaired,broadway,3,3,false,24
Ks,9h,6s,two_tone,unpaired,broadway,3,2,false,12
Ks,9h,6d,rainbow,unpaired,broadway,3,2,false,24
Ks,9h,7s,two_tone,unpaired,broadway,3,1,false,12
Ks,9h,7d,rainbow,unpaired,broadway,3,1,false,24
Ks,9h,8s,two_tone,unpaired,broadway,3,0,false,12
Ks,9h,8d,rainbow,unpaired,broadway,3,0,false,24
Ks,9h,9d,rainbow,paired,broadway,3,0,true,12
Ks,Ts,2s,monotone,unpaired,broadway,2,7,false,4
Ks,Ts,2h,two_tone,unpaired,broadway,2,7,false,12
Ks,Ts,3s,monotone,unpaired,broadway,2,6,false,4
Ks,Ts,3h,two_tone,unpaired,broadway,2,6,false,12
Ks,Ts,4s,monotone,unpaired,broadway,2,5,false,4
Ks,Ts,4h,two_tone,unpaired,broadway,2,5,false,12
Ks,Ts,5s,monotone,unpaired,broadway,2,4,false,4
Ks,Ts,5h,two_tone,unpaired,broadway,2,4,false,12
Ks,Ts,6s,monotone,unpaired,broadway,2,3,false,4
Ks,Ts,6h,two_tone,unpaired,broadway,2,3,false,12
Ks,Ts,7s,monotone,unpaired,broadway,2,2,false,4
Ks,Ts,7h,two_tone,unpaired,broadway,2,2,false,12
Ks,Ts,8s,monotone,unpaired,broadway,2,1,false,4
Ks,Ts,8h,two_tone,unpaired,broadway,2,1,false,12
Ks,Ts,9s,monotone,unpaired,broadway,2,0,true,4
Ks,Ts,9h,two_tone,unpaired,broadway,2,0,true,12
Ks,Ts,Th,two_tone,paired,broadway,2,0,true,12
Ks,Th,2s,two_tone,unpaired,broadway,2,7,false,12
Ks,Th,2d,rainbow,unpaired,broadway,2,7,false,24
Ks,Th,3s,two_tone,unpaired,broadway,2,6,false,12
Ks,Th,3d,rainbow,unpaired,broadway,2,6,false,24
Ks,Th,4s,two_tone,unpaired,broadway,2,5,false,12
Ks,Th,4d,rainbow,unpaired,broadway,2,5,false,24
Ks,Th,5s,two_tone,unpaired,broadway,2,4,false,12
Ks,Th,5d,rainbow,unpaired,broadway,2,4,false,24
Ks,Th,6s,two_tone,unpaired,broadway,2,3,false,12
Ks,Th,6d,rainbow,unpaired,broadway,2,3,false,24
Ks,Th,7s,two_tone,unpaired,broadway,2,2,false,12
Ks,Th,7d,rainbow,unpaired,broadway,2,2,false,24
Ks,Th,8s,two_tone,unpaired,broadway,2,1,false,12
Ks,Th,8d,rainbow,unpaired,broadway,2,1,false,24
Ks,Th,9s,two_tone,unpaired,broadway,2,0,true,12
Ks,Th,9d,rainbow,unpaired,broadway,2,0,true,24
Ks,Th,Td,rainbow,paired,broadway,2,0,true,12
Ks,Js,2s,monotone,unpaired,broadway,1,8,false,4
Ks,Js,2h,two_tone,unpaired,broadway,1,8,false,12
Ks,Js,3s,monotone,unpaired,broadway,1,7,false,4
Ks,Js,3h,two_tone,unpaired,broadway,1,7,false,12
Ks,Js,4s,monotone,unpaired,broadway,1,6,false,4
Ks,Js,4h,two_tone,unpaired,broadway,1,6,false,12
Ks,Js,5s,monotone,unpaired,broadway,1,5,false,4
Ks,Js,5h,two_tone,unpaired,broadway,1,5,false,12
Ks,Js,6s,monotone,unpaired,broadway,1,4,false,4
Ks,Js,6h,two_tone,unpaired,broadway,1,4,false,12
Ks,Js,7s,monotone,unpaired,broadway,1,3,false,4
Ks,Js,7h,two_tone,unpaired,broadway,1,3,false,12
Ks,Js,8s,monotone,unpaired,broadway,1,2,false,4
Ks,Js,8h,two_tone,unpaired,broadway,1,2,false,12
Ks,Js,9s,monotone,unpaired,broadway,1,1,true,4
Ks,Js,9h,two_tone,unpaired,broadway,1,1,true,12
Ks,Js,Ts,monotone,unpaired,broadway,1,0,true,4
Ks,Js,Th,two_tone,unpaired,broadway,1,0,true,12
Ks,Js,Jh,two_tone,paired,broadway,1,0,true,12
Ks,Jh,2s,two_tone,unpaired,broadway,1,8,false,12
Ks,Jh,2d,rainbow,unpaired,broadway,1,8,false,24
Ks,Jh,3s,two_tone,unpaired,broadway,1,7,false,12
Ks,Jh,3d,rainbow,unpaired,broadway,1,7,false,24
Ks,Jh,4s,two_tone,unpaired,broadway,1,6,false,12
Ks,Jh,4d,rainbow,unpaired,broadway,1,6,false,24
Ks,Jh,5s,two_tone,unpaired,broadway,1,5,false,12
Ks,Jh,5d,rainbow,unpaired,broadway,1,5,false,24
Ks,Jh,6s,two_tone,unpaired,broadway,1,4,false,12
Ks,Jh,6d,rainbow,unpaired,broadway,1,4,false,24
Ks,Jh,7s,two_tone,unpaired,broadway,1,3,false,12
Ks,Jh,7d,rainbow,unpaired,broadway,1,3,false,24
Ks,Jh,8s,two_tone,unpaired,broadway,1,2,false,12
Ks,Jh,8d,rainbow,unpaired,broadway,1,2,false,24
Ks,Jh,9s,two_tone,unpaired,broadway,1,1,true,12
Ks,Jh,9d,rainbow,unpaired,broadway,1,1,true,24
Ks,Jh,Ts,two_tone,unpaired,broadway,1,0,true,12
Ks,Jh,Td,rainbow,unpaired,broadway,1,0,true,24
Ks,Jh,Jd,rainbow,paired,broadway,1,0,true,12
Ks,Qs,2s,monotone,unpaired,broadway,0,9,false,4
Ks,Qs,2h,two_tone,unpaired,broadway,0,9,false,12
Ks,Qs,3s,monotone,unpaired,broadway,0,8,false,4
Ks,Qs,3h,two_tone,unpaired,broadway,0,8,false,12
Ks,Qs,4s,monotone,unpaired,broadway,0,7,false,4
Ks,Qs,4h,two_tone,unpaired,broadway,0,7,false,12
Ks,Qs,5s,monotone,unpaired,broadway,0,6,false,4
Ks,Qs,5h,two_tone,unpaired,broadway,0,6,false,12
Ks,Qs,6s,monotone,unpaired,broadway,0,5,false,4
Ks,Qs,6h,two_tone,unpaired,broadway,0,5,false,12
Ks,Qs,7s,monotone,unpaired,broadway,0,4,false,4
Ks,Qs,7h,two_tone,unpaired,broadway,0,4,false,12
Ks,Qs,8s,monotone,unpaired,broadway,0,3,false,4
Ks,Qs,8h,two_tone,unpaired,broadway,0,3,false,12
Ks,Qs,9s,monotone,unpaired,broadway,0,2,true,4
Ks,Qs,9h,two_tone,unpaired,broadway,0,2,true,12
Ks,Qs,Ts,monotone,unpaired,broadway,0,1,true,4
Ks,Qs,Th,two_tone,unpaired,broadway,0,1,true,12
Ks,Qs,Js,monotone,unpaired,broadway,0,0,true,4
Ks,Qs,Jh,two_tone,unpaired,broadway,0,0,true,12
Ks,Qs,Qh,two_tone,paired,broadway,0,0,true,12
Ks,Qh,2s,two_tone,unpaired,broadway,0,9,false,12
Ks,Qh,2d,rainbow,unpaired,broadway,0,9,false,24
Ks,Qh,3s,two_tone,unpaired,broadway,0,8,false,12
Ks,Qh,3d,rainbow,unpaired,broadway,0,8,false,24
Ks,Qh,4s,two_tone,unpaired,broadway,0,7,false,12
Ks,Qh,4d,rainbow,unpaired,broadway,0,7,false,24
Ks,Qh,5s,two_tone,unpaired,broadway,0,6,false,12
Ks,Qh,5d,rainbow,unpaired,broadway,0,6,false,24
Ks,Qh,6s,two_tone,unpaired,broadway,0,5,false,12
Ks,Qh,6d,rainbow,unpaired,broadway,0,5,false,24
Ks,Qh,7s,two_tone,unpaired,broadway,0,4,false,12
Ks,Qh,7d,rainbow,unpaired,broadway,0,4,false,24
Ks,Qh,8s,two_tone,unpaired,broadway,0,3,false,12
Ks,Qh,8d,rainbow,unpaired,broadway,0,3,false,24
Ks,Qh,9s,two_tone,unpaired,broadway,0,2,true,12
Ks,Qh,9d,rainbow,unpaired,broadway,0,2,true,24
Ks,Qh,Ts,two_tone,unpaired,broadway,0,1,true,12
Ks,Qh,Td,rainbow,unpaired,broadway,0,1,true,24
Ks,Qh,Js,two_tone,unpaired,broadway,0,0,true,12
Ks,Qh,Jd,rainbow,unpaired,broadway,0,0,true,24
Ks,Qh,Qd,rainbow,paired,broadway,0,0,true,12
Ks,Kh,2s,two_tone,paired,broadway,10,0,false,12
Ks,Kh,2d,rainbow,paired,broadway,10,0,false,12
Ks,Kh,3s,two_tone,paired,broadway,9,0,false,12
Ks,Kh,3d,rainbow,paired,broadway,9,0,false,12
Ks,Kh,4s,two_tone,paired,broadway,8,0,false,12
Ks,Kh,4d,rainbow,paired,broadway,8,0,false,12
Ks,Kh,5s,two_tone,paired,broadway,7,0,false,12
Ks,Kh,5d,rainbow,paired,broadway,7,0,false,12
Ks,Kh,6s,two_tone,paired,broadway,6,0,false,12
Ks,Kh,6d,rainbow,paired,broadway,6,0,false,12
Ks,Kh,7s,two_tone,paired,broadway,5,0,false,12
Ks,Kh,7d,rainbow,paired,broadway,5,0,false,12
Ks,Kh,8s,two_tone,paired,broadway,4,0,false,12
Ks,Kh,8d,rainbow,paired,broadway,4,0,false,12
Ks,Kh,9s,two_tone,paired,broadway,3,0,true,12
Ks,Kh,9d,rainbow,paired,broadway,3,0,true,12
Ks,Kh,Ts,two_tone,paired,broadway,2,0,true,12
Ks,Kh,Td,rainbow,paired,broadway,2,0,true,12
Ks,Kh,Js,two_tone,paired,broadway,1,0,true,12
Ks,Kh,Jd,rainbow,paired,broadway,1,0,true,12
Ks,Kh,Qs,two_tone,paired,broadway,0,0,true,12
Ks,Kh,Qd,rainbow,paired,broadway,0,0,true,12
Ks,Kh,Kd,rainbow,trips,broadway,0,0,true,4
Kh,3s,2s,two_tone,unpaired,broadway,9,0,false,12
Kh,4s,2s,two_tone,unpaired,broadway,8,1,false,12
Kh,4s,3s,two_tone,unpaired,broadway,8,0,false,12
Kh,5s,2s,two_tone,unpaired,broadway,7,2,false,12
Kh,5s,3s,two_tone,unpaired,broadway,7,1,false,12
Kh,5s,4s,two_tone,unpaired,broadway,7,0,false,12
Kh,6s,2s,two_tone,unpaired,broadway,6,3,false,12
Kh,6s,3s,two_tone,unpaired,broadway,6,2,false,12
Kh,6s,4s,two_tone,unpaired,broadway,6,1,false,12
Kh,6s,5s,two_tone,unpaired,broadway,6,0,false,12
Kh,7s,2s,two_tone,unpaired,broadway,5,4,false,12
Kh,7s,3s,two_tone,unpaired,broadway,5,3,false,12
Kh,7s,4s,two_tone,unpaired,broadway,5,2,false,12
Kh,7s,5s,two_tone,unpaired,broadway,5,1,false,12
Kh,7s,6s,two_tone,unpaired,broadway,5,0,false,12
Kh,8s,2s,two_tone,unpaired,broadway,4,5,false,12
Kh,8s,3s,two_tone,unpaired,broadway,4,4,false,12
Kh,8s,4s,two_tone,unpaired,broadway,4,3,false,12
Kh,8s,5s,two_tone,unpaired,broadway,4,2,false,12
Kh,8s,6s,two_tone,unpaired,broadway,4,1,false,12
Kh,8s,7s,two_tone,unpaired,broadway,4,0,false,12
Kh,9s,2s,two_tone,unpaired,broadway,3,6,false,12
Kh,9s,3s,two_tone,unpaired,broadway,3,5,false,12
Kh,9s,4s,two_tone,unpaired,broadway,3,4,false,12
Kh,9s,5s,two_tone,unpaired,broadway,3,3,false,12
Kh,9s,6s,two_tone,unpaired,broadway,3,2,false,12
Kh,9s,7s,two_tone,unpaired,broadway,3,1,false,12
Kh,9s,8s,two_tone,unpaired,broadway,3,0,false,12
Kh,Ts,2s,two_tone,unpaired,broadway,2,7,false,12
Kh,Ts,3s,two_tone,unpaired,broadway,2,6,false,12
Kh,Ts,4s,two_tone,unpaired,broadway,2,5,false,12
Kh,Ts,5s,two_tone,unpaired,broadway,2,4,false,12
Kh,Ts,6s,two_tone,unpaired,broadway,2,3,false,12
Kh,Ts,7s,two_tone,unpaired,broadway,2,2,false,12
Kh,Ts,8s,two_tone,unpaired,broadway,2,1,false,12
Kh,Ts,9s,two_tone,unpaired,broadway,2,0,true,12
Kh,Js,2s,two_tone,unpaired,broadway,1,8,false,12
Kh,Js,3s,two_tone,unpaired,broadway,1,7,false,12
Kh,Js,4s,two_tone,unpaired,broadway,1,6,false,12
Kh,Js,5s,two_tone,unpaired,broadway,1,5,false,12
Kh,Js,6s,two_tone,unpaired,broadway,1,4,false,12
Kh,Js,7s,two_tone,unpaired,broadway,1,3,false,12
Kh,Js,8s,two_tone,unpaired,broadway,1,2,false,12
Kh,Js,9s,two_tone,unpaired,broadway,1,1,true,12
Kh,Js,Ts,two_tone,unpaired,broadway,1,0,true,12
Kh,Qs,2s,two_tone,unpaired,broadway,0,9,false,12
Kh,Qs,3s,two_tone,unpaired,broadway,0,8,false,12
Kh,Qs,4s,two_tone,unpaired,broadway,0,7,false,12
Kh,Qs,5s,two_tone,unpaired,broadway,0,6,false,12
Kh,Qs,6s,two_tone,unpaired,broadway,0,5,false,12
Kh,Qs,7s,two_tone,unpaired,broadway,0,4,false,12
Kh,Qs,8s,two_tone,unpaired,broadway,0,3,false,12
Kh,Qs,9s,two_tone,unpaired,broadway,0,2,true,12
Kh,Qs,Ts,two_tone,unpaired,broadway,0,1,true,12
Kh,Qs,Js,two_tone,unpaired,broadway,0,0,true,12
As,2s,2h,two_tone,paired,broadway,11,0,true,12
As,2h,2d,rainbow,paired,broadway,11,0,true,12
As,3s,2s,monotone,unpaired,broadway,10,0,true,4
As,3s,2h,two_tone,unpaired,broadway,10,0,true,12
As,3s,3h,two_tone,paired,broadway,10,0,true,12
As,3h,2s,two_tone,unpaired,broadway,10,0,true,12
As,3h,2d,rainbow,unpaired,broadway,10,0,true,24
As,3h,3d,rainbow,paired,broadway,10,0,true,12
As,4s,2s,monotone,unpaired,broadway,9,1,true,4
As,4s,2h,two_tone,unpaired,broadway,9,1,true,12
As,4s,3s,monotone,unpaired,broadway,9,0,true,4
As,4s,3h,two_tone,unpaired,broadway,9,0,true,12
As,4s,4h,two_tone,paired,broadway,9,0,true,12
As,4h,2s,two_tone,unpaired,broadway,9,1,true,12
As,4h,2d,rainbow,unpaired,broadway,9,1,true,24
As,4h,3s,two_tone,unpaired,broadway,9,0,true,12
As,4h,3d,rainbow,unpaired,broadway,9,0,true,24
As,4h,4d,rainbow,paired,broadway,9,0,true,12
As,5s,2s,monotone,unpaired,broadway,8,2,true,4
As,5s,2h,two_tone,unpaired,broadway,8,2,true,12
As,5s,3s,monotone,unpaired,broadway,8,1,true,4
As,5s,3h,two_tone,unpaired,broadway,8,1,true,12
As,5s,4s,monotone,unpaired,broadway,8,0,true,4
As,5s,4h,two_tone,unpaired,broadway,8,0,true,12
As,5s,5h,two_tone,paired,broadway,8,0,true,12
As,5h,2s,two_tone,unpaired,broadway,8,2,true,12
As,5h,2d,rainbow,unpaired,broadway,8,2,true,24
As,5h,3s,two_tone,unpaired,broadway,8,1,true,12
As,5h,3d,rainbow,unpaired,broadway,8,1,true,24
As,5h,4s,two_tone,unpaired,broadway,8,0,true,12
As,5h,4d,rainbow,unpaired,broadway,8,0,true,24
As,5h,5d,rainbow,paired,broadway,8,0,true,12
